f8e2 ed30 fd89
2e5  20e8 dbea
ee5  f978 186 
d400 d0f0 1236
f1bf e6f8 2a58
9ce  11d0 ffdb
2334 1e10 323 
dcca f5d0 fbba
f753 1198 f992
fd3f fec8 1255
34dd 2ca8 fdb0
156c 1980 f756
ed80 f2d0 f4f8
1cdb cf8  f577
2288 500  e966
2ceb 2958 e3a7
2691 1c68 bdb 
d55a d7c0 258a
e007 fab8 e898
2017 1128 da7d
191  16a8 f999
d7d0 f0d0 fa93
fb18 eec0 6fe 
fa82 12e0 f2f8
e7e4 f3d0 eb46
e3b3 eca8 171c
dd1b e098 21ce
e012 e980 fbf9
f143 e4c8 25a1
d3fd f048 43d 
1c3d 1518 f0e 
f3ee 2b0  1c3b
1ca1 9a8  407 
1446 fd10 f239
e6f4 b0   10db
db26 da00 7ae 
19d3 fe58 2cb 
196c f4a0 219b
ec17 eb78 1aae
30b8 2990 669 
eddf f898 eda9
167  e8b8 28a7
aec  1120 e713
f794 1340 dd96
f3a3 ea48 fb2e
34b9 1c18 cec 
688  fc0  712 
f49d f788 639 
d81f f0b8 5f  
e5c0 fbf0 10c3
f5ee d30  e182
3107 1b28 fe77
eae  ae0  b2f 
db5e e380 27d 
fad  fc48 47b 
f45c ef60 503 
7b9  1a8  52c 
edf7 e568 fe97
d32a 790  e7d1
f341 378  f5e5
3fd  f918 6ce 
facc e7d0 12b0
dd96 f2d0 fba2
2e6f 2748 ff76
2789 1bc8 f293
e627 f5a8 123c
e9c7 d6e8 2818
de66 eab0 33c 
164d fd78 f0ed
de92 ed50 3ad 
fd8d 168  f65f
fd3d e8a8 c58 
e49  1438 f8e0
f713 9c8  195 
ed0d fd38 5c7 
27da 25a0 35a 
e2af f778 1f1b
4df  f3f8 f906
e389 dcb8 277f
f744 e690 fa80
d2a2 dae0 1c16
fbda 6a0  e7c6
ed0  f7c0 e576
ec95 418  e1dd
f39  2288 e6ca
1d2d 218  1a8b
fe18 ee80 f704
25cc 2640 f9d2
d364 f490 37a 
e866 e7b0 f958
