======================================
Simulation clock rate =         100MHz
======================================

         in 08  out f8e2  expt f8e2
         in 72  out ed30  expt ed30
         in ab  out fd89  expt fd89
         in 33  out 02e5  expt 02e5
         in b9  out 20e8  expt 20e8
         in fe  out dbea  expt dbea
         in 9f  out 0ee5  expt 0ee5
         in 95  out f978  expt f978
         in e3  out 0186  expt 0186
         in c6  out d400  expt d400
         in de  out d0f0  expt d0f0
         in 7b  out 1236  expt 1236
         in 09  out f1bf  expt f1bf
         in 44  out e6f8  expt e6f8
         in 25  out 2a58  expt 2a58
         in 44  out 09ce  expt 09ce
         in 47  out 11d0  expt 11d0
         in 52  out ffdb  expt ffdb
         in a6  out 2334  expt 2334
         in 20  out 1e10  expt 1e10
         in d0  out 0323  expt 0323
         in d8  out dcca  expt dcca
         in 6a  out f5d0  expt f5d0
         in 05  out fbba  expt fbba
         in e6  out f753  expt f753
         in 1b  out 1198  expt 1198
         in 49  out f992  expt f992
         in 6e  out fd3f  expt fd3f
         in 5e  out fec8  expt fec8
         in 5d  out 1255  expt 1255
         in 2c  out 34dd  expt 34dd
         in 42  out 2ca8  expt 2ca8
         in 14  out fdb0  expt fdb0
         in e3  out 156c  expt 156c
         in db  out 1980  expt 1980
         in b3  out f756  expt f756
         in 53  out ed80  expt ed80
         in ea  out f2d0  expt f2d0
         in f6  out f4f8  expt f4f8
         in 7a  out 1cdb  expt 1cdb
         in a0  out 0cf8  expt 0cf8
         in b6  out f577  expt f577
         in 75  out 2288  expt 2288
         in 3c  out 0500  expt 0500
         in e8  out e966  expt e966
         in 47  out 2ceb  expt 2ceb
         in 42  out 2958  expt 2958
         in 74  out e3a7  expt e3a7
         in 87  out 2691  expt 2691
         in d1  out 1c68  expt 1c68
         in 41  out 0bdb  expt 0bdb
         in be  out d55a  expt d55a
         in 16  out d7c0  expt d7c0
         in 8b  out 258a  expt 258a
         in 74  out e007  expt e007
         in d1  out fab8  expt fab8
         in 8f  out e898  expt e898
         in f1  out 2017  expt 2017
         in 6a  out 1128  expt 1128
         in 12  out da7d  expt da7d
         in 9e  out 0191  expt 0191
         in 11  out 16a8  expt 16a8
         in c0  out f999  expt f999
         in fe  out d7d0  expt d7d0
         in bc  out f0d0  expt f0d0
         in fa  out fa93  expt fa93
         in e7  out fb18  expt fb18
         in 5f  out eec0  expt eec0
         in ed  out 06fe  expt 06fe
         in db  out fa82  expt fa82
         in e1  out 12e0  expt 12e0
         in 8b  out f2f8  expt f2f8
         in a9  out e7e4  expt e7e4
         in 05  out f3d0  expt f3d0
         in 32  out eb46  expt eb46
         in 98  out e3b3  expt e3b3
         in e6  out eca8  expt eca8
         in 45  out 171c  expt 171c
         in be  out dd1b  expt dd1b
         in d7  out e098  expt e098
         in ba  out 21ce  expt 21ce
         in cc  out e012  expt e012
         in cd  out e980  expt e980
         in 63  out fbf9  expt fbf9
         in 89  out f143  expt f143
         in 26  out e4c8  expt e4c8
         in e6  out 25a1  expt 25a1
         in 2d  out d3fd  expt d3fd
         in 3b  out f048  expt f048
         in 70  out 043d  expt 043d
         in bb  out 1c3d  expt 1c3d
         in 56  out 1518  expt 1518
         in 77  out 0f0e  expt 0f0e
         in 47  out f3ee  expt f3ee
         in ee  out 02b0  expt 02b0
         in 2c  out 1c3b  expt 1c3b
         in 4f  out 1ca1  expt 1ca1
         in a8  out 09a8  expt 09a8
         in c7  out 0407  expt 0407
         in a2  out 1446  expt 1446
         in 5d  out fd10  expt fd10
         in 40  out f239  expt f239
         in b5  out e6f4  expt e6f4
         in a3  out 00b0  expt 00b0
         in cb  out 10db  expt 10db
         in 4d  out db26  expt db26
         in b8  out da00  expt da00
         in 10  out 07ae  expt 07ae
         in 37  out 19d3  expt 19d3
         in b2  out fe58  expt fe58
         in 7d  out 02cb  expt 02cb
         in c0  out 196c  expt 196c
         in ee  out f4a0  expt f4a0
         in 41  out 219b  expt 219b
         in 5c  out ec17  expt ec17
         in 65  out eb78  expt eb78
         in 7a  out 1aae  expt 1aae
         in e5  out 30b8  expt 30b8
         in ee  out 2990  expt 2990
         in a0  out 0669  expt 0669
         in f5  out eddf  expt eddf
         in bc  out f898  expt f898
         in 7c  out eda9  expt eda9
         in 27  out 0167  expt 0167
         in 1a  out e8b8  expt e8b8
         in bd  out 28a7  expt 28a7
         in f4  out 0aec  expt 0aec
         in 4a  out 1120  expt 1120
         in 94  out e713  expt e713
         in f9  out f794  expt f794
         in a7  out 1340  expt 1340
         in be  out dd96  expt dd96
         in 71  out f3a3  expt f3a3
         in 1d  out ea48  expt ea48
         in 7c  out fb2e  expt fb2e
         in fa  out 34b9  expt 34b9
         in 4c  out 1c18  expt 1c18
         in 3e  out 0cec  expt 0cec
         in e1  out 0688  expt 0688
         in fa  out 0fc0  expt 0fc0
         in 06  out 0712  expt 0712
         in 99  out f49d  expt f49d
         in 18  out f788  expt f788
